,LEA CODE,LEA,Total Teachers,Leaving,Attrition Rate,ADM,Reduced,Free,Needy Perc,S:T Ratio,Total dropouts,Dropout Rate,Total #Acts committed,Acts per 1000 students,Total Expenditures (TOTALEXP) per Pupil (V33),Total Current Expenditures (TCURELSC) per Pupil (V33),Instructional Expenditures (E13) per Pupil (V33),American Indian/Alaska Native Students,Nat Amr Perc,Asian or Asian/Pacific Islander Students,Asian Perc,Hispanic Students,Hisp Perc,Black Students,Black Perc,White Students,White Perc,Hawaiian Nat./Pacific Isl. Students,Hawaiian Perc,Two or More Races Students,2 Plus perc,Total Revenue (TOTALREV) per Pupil (V33),Total Revenue - Federal Sources (TFEDREV) per Pupil (V33),Total Revenue - State Sources (TSTREV) per Pupil (V33),Total Revenue - Local Sources (TLOCREV) per Pupil (V33),Urban-centric Locale,Urban centric local number,groups
42,380,Graham,531,93,17.51,1718,188,784,56.58,19.75,10,1.69,0,0.0,11828,10572,5899,184,10.71012806,1,0.058207218,36,2.095459837,2,0.116414435,1010,58.78928987,1,0.058207218,10,0.582072177,11463,2262,7764,1437,43-Rural: Remote,43,3
43,390,Granville,212,48,22.64,1183,148,646,67.12,2.35,11,3.1,79,9.32,8724,8217,4826,30,2.5359256130000003,38,3.212172443,1087,91.88503804,2804,237.0245139,4355,368.1318681,4,0.338123415,337,28.48689772,8670,798,5693,2180,41-Rural: Fringe,41,4
44,400,Greene,4960,640,12.9,8479,640,4211,57.21,38.02,94,3.46,11,3.5,13194,10409,6424,3,0.035381531,4,0.047175374000000006,929,10.95648072,1282,15.11970751,1046,12.33636042,2,0.023587687000000003,41,0.483547588,13426,1832,7077,4517,42-Rural: Distant,42,3
45,410,Guilford,259,81,31.27,3147,189,2254,77.63,0.63,18,1.81,623,8.67,9836,9035,5518,421,13.37782015,4251,135.0810296,8930,283.7623133,30245,961.0740388,27428,871.5602161,113,3.590721322,2773,88.11566571,9254,1344,5146,2764,11-City: Large,11,6
46,420,Halifax,1232,221,17.94,71885,4740,37544,58.82,316.67,487,2.07,38,11.16,11298,11036,6574,217,0.301871044,6,0.008346665,106,0.147457745,3095,4.305487932,168,0.233706615,3,0.004173332,43,0.059817764,11478,3430,6734,1314,42-Rural: Distant,42,4
47,430,Harnett,524,56,10.7,978,57,784,85.99,0.71,29,3.11,136,6.78,7661,7284,4634,197,20.14314928,109,11.14519427,3537,361.6564417,5158,527.402863,10499,1073.517382,47,4.805725971,1022,104.49897750000001,7589,770,5548,1271,41-Rural: Fringe,41,2
48,440,Haywood,912,123,13.49,20065,1802,9978,58.71,38.44,20,2.19,68,9.12,8789,8577,5224,68,0.33889858,38,0.1893845,504,2.511836531,76,0.378769001,6794,33.85995515,3,0.014951408000000001,150,0.747570396,8515,1069,5115,2330,21-Suburb: Large,21,3
49,450,Henderson,222,41,18.47,7459,563,3583,55.58,8.1,12,3.32,100,7.51,8370,8121,5331,32,0.42901193200000004,168,2.2523126419999997,2689,36.0504089,501,6.716718059,9634,129.1594047,35,0.469231801,505,6.77034455,8162,1027,5239,1897,21-Suburb: Large,21,4
50,460,Hertford,300,51,17.0,13316,1023,6321,55.15,61.08,242,3.85,30,9.93,10763,10251,5780,21,0.157705017,16,0.120156203,79,0.5932712529999999,2508,18.83448483,511,3.837488735,1,0.007509763000000001,36,0.270351457,10548,1565,7241,1742,32-Town: Distant,32,3
51,181,Hickory Public,566,155,27.39,4305,279,2474,63.95,14.4,35,1.48,31,7.2,8590,8298,5229,8,0.18583043,186,4.320557491000001,936,21.74216028,978,22.71777003,2070,48.08362369,1,0.023228804,270,6.2717770029999995,8601,1335,5280,1986,13-City: Small,13,5
